FLOAT


n;wybór elementu;błąd bezwzględny;czas wykonania;ilość prób
4;NONE;3.1711533665657043E-7;0.2495603333333333;3;
4;PARTIAL;1.4094014962514242E-7;0.3692876666666667;3;
4;FULL;1.5087425708770752E-7;0.26755533333333337;3;

5;NONE;1.8682330846786498E-7;0.16452133333333332;3;
5;PARTIAL;2.438823382059733E-7;0.19699;3;
5;FULL;5.7617823282877605E-8;0.9042863333333333;3;

DOUBLE


n;wybór elementu;błąd bezwzględny;czas wykonania;ilość prób
4;NONE;1.1391350825581034E-16;0.38193366666666667;3;
4;PARTIAL;2.8796409701215E-16;0.24649566666666667;3;
4;FULL;2.0932329943453473E-16;0.19878666666666667;3;

5;NONE;1.6536540655328245E-15;0.22056866666666666;3;
5;PARTIAL;3.117876327488981E-16;0.27224066666666663;3;
5;FULL;1.924386576016938E-16;0.8190893333333333;3;

FRACTION


n;wybór elementu;błąd bezwzględny;czas wykonania;ilość prób


